150, ../OUTPUT/pa5-A-Output.txt
-17.5633 -9.0263 -30.9597 141.9523 32.9193 75.1536
-32.83 1.42 -15.72 -32.84 1.42 -15.72 0.00
-4.58 22.62 40.20 -4.57 22.61 40.20 0.00
21.56 6.60 -32.60 21.56 6.60 -32.60 0.00
-5.28 -3.02 50.96 -5.28 -3.02 50.96 0.00
26.29 15.38 32.89 26.29 15.39 32.89 0.00
8.98 22.93 23.65 8.98 22.93 23.65 0.00
-18.16 10.13 -23.79 -18.16 10.13 -23.79 0.00
-6.47 -23.09 -22.53 -6.47 -23.09 -22.53 0.00
-4.99 -19.28 -39.84 -4.99 -19.28 -39.84 0.00
10.09 -13.13 -2.29 10.09 -13.14 -2.29 0.01
-0.63 -16.10 -10.37 -0.63 -16.10 -10.37 0.00
28.62 -0.05 34.57 28.62 -0.05 34.57 0.00
-6.52 -22.20 -21.05 -6.52 -22.20 -21.05 0.00
-13.67 -26.52 -37.38 -13.67 -26.53 -37.38 0.00
39.71 10.47 8.22 39.71 10.47 8.22 0.00
29.66 -9.78 8.54 29.66 -9.77 8.54 0.00
1.92 -1.93 -23.77 1.92 -1.93 -23.77 0.00
21.08 12.92 -30.51 21.08 12.92 -30.51 0.00
23.19 18.57 28.38 23.19 18.56 28.38 0.00
22.30 21.19 16.18 22.30 21.19 16.18 0.00
-14.90 7.11 -12.33 -14.90 7.12 -12.33 0.00
-28.30 -15.56 -44.28 -28.30 -15.56 -44.28 0.00
-3.22 4.36 -23.41 -3.22 4.36 -23.41 0.00
12.16 7.82 -19.09 12.16 7.82 -19.09 0.00
5.06 -2.21 61.05 5.06 -2.21 61.05 0.00
32.14 -10.74 4.92 32.13 -10.73 4.92 0.00
23.58 0.77 54.18 23.58 0.77 54.18 0.00
41.23 0.63 12.03 41.23 0.63 12.04 0.00
-36.74 -15.03 -33.87 -36.74 -15.03 -33.87 0.00
37.54 -6.45 11.38 37.54 -6.46 11.38 0.00
-5.31 23.35 29.71 -5.31 23.36 29.71 0.01
26.26 -12.49 -0.12 26.26 -12.49 -0.12 0.00
-22.01 9.51 -22.67 -22.01 9.51 -22.67 0.00
-3.85 6.65 -18.32 -3.85 6.65 -18.32 0.00
8.80 -6.87 48.17 8.80 -6.87 48.17 0.00
-1.14 21.99 53.27 -1.14 22.00 53.27 0.00
29.98 13.18 -19.27 29.98 13.18 -19.27 0.00
-6.63 6.83 -23.33 -6.63 6.83 -23.33 0.00
-37.22 -19.38 -19.02 -37.22 -19.38 -19.02 0.00
33.53 -9.88 -6.74 33.53 -9.88 -6.74 0.00
-27.22 -16.00 -44.63 -27.22 -16.00 -44.63 0.00
-3.28 2.25 -28.09 -3.28 2.25 -28.09 0.00
-1.57 22.24 8.49 -1.57 22.24 8.49 0.00
-32.60 3.65 -35.33 -32.59 3.65 -35.33 0.00
15.75 22.24 41.29 15.75 22.23 41.29 0.00
22.60 19.27 46.54 22.60 19.26 46.54 0.00
31.19 -1.96 26.52 31.19 -1.96 26.51 0.00
21.95 -7.53 20.19 21.95 -7.53 20.19 0.00
25.20 -5.61 29.09 25.20 -5.61 29.09 0.00
20.99 -5.76 38.61 20.99 -5.76 38.61 0.00
23.83 5.08 58.96 23.83 5.08 58.96 0.00
21.31 22.11 9.83 21.31 22.11 9.83 0.00
6.79 22.70 29.42 6.79 22.71 29.42 0.00
-10.70 14.13 12.40 -10.70 14.14 12.40 0.00
-10.02 11.82 2.15 -10.02 11.83 2.15 0.00
-34.01 -3.25 -13.94 -34.01 -3.25 -13.94 0.00
-1.56 -17.87 -25.26 -1.56 -17.87 -25.26 0.00
6.32 -9.07 14.37 6.32 -9.06 14.37 0.00
