150, ../OUTPUT/pa5-B-Output.txt
46.8361 137.8723 70.3294 -4.0476 -34.0832 2.6925
6.50 4.69 -16.26 6.43 4.38 -16.04 0.39
-21.18 -30.69 -20.02 -21.53 -31.55 -19.55 1.04
-36.38 -14.20 -49.32 -35.72 -14.29 -48.36 1.17
33.21 -3.58 -11.61 32.88 -3.44 -11.53 0.37
18.77 15.70 62.37 18.96 15.84 62.37 0.24
-5.94 -13.77 -44.69 -5.91 -13.77 -44.72 0.04
-13.16 21.97 21.78 -12.93 21.94 21.91 0.26
-17.39 -2.95 -4.69 -17.34 -2.98 -4.72 0.07
-4.00 7.82 64.48 -3.75 7.67 64.48 0.30
9.38 23.32 8.43 9.35 23.51 8.42 0.19
-18.72 2.17 -15.30 -18.80 2.52 -15.19 0.38
0.01 -11.24 -27.86 0.04 -11.24 -27.87 0.04
19.63 20.53 23.39 19.88 21.05 23.50 0.58
-4.21 1.06 52.38 -3.74 1.45 52.37 0.61
27.25 7.76 20.83 27.75 7.90 20.99 0.55
32.11 -5.13 -10.89 31.85 -4.90 -11.01 0.37
18.66 -4.39 18.14 18.72 -3.73 18.05 0.67
24.88 12.33 22.64 25.17 12.47 22.68 0.32
-13.31 19.17 21.59 -13.30 19.17 21.59 0.01
17.32 21.26 39.11 17.75 21.56 39.16 0.53
-36.76 2.38 -24.37 -36.69 2.32 -24.41 0.10
33.72 9.41 -8.85 34.10 9.51 -8.98 0.41
-14.39 -7.72 -51.10 -14.50 -7.82 -50.63 0.49
19.93 22.81 3.08 20.16 23.42 3.08 0.66
29.44 8.28 -24.64 29.58 8.35 -24.67 0.15
-8.87 -15.51 -8.73 -8.86 -15.89 -8.49 0.45
13.22 22.63 -4.25 13.20 22.70 -4.27 0.07
20.30 -6.62 4.66 20.25 -5.96 4.49 0.68
-30.10 4.69 -20.02 -30.22 5.09 -19.66 0.55
3.49 11.57 -5.35 3.77 11.11 -5.04 0.61
14.92 -4.97 -25.72 15.13 -4.39 -24.80 1.10
21.62 -0.18 49.83 21.67 -0.23 49.84 0.07
-27.74 -13.02 -10.81 -27.58 -12.28 -9.88 1.20
-5.11 5.83 63.68 -4.80 5.69 63.68 0.34
-3.45 17.16 10.49 -3.01 16.53 11.40 1.19
-3.22 -0.19 58.84 -2.73 0.36 58.88 0.74
-5.13 3.03 34.43 -4.68 2.98 34.41 0.46
0.77 -15.11 -7.77 0.78 -15.31 -7.69 0.21
13.39 -4.52 16.63 13.34 -4.08 16.56 0.44
-2.00 1.96 67.68 -3.18 1.79 67.57 1.19
-0.59 -15.38 -8.12 -0.59 -15.52 -8.06 0.15
-21.61 7.58 -24.04 -21.25 8.38 -23.43 1.07
22.18 7.66 66.83 22.61 7.75 66.86 0.44
-27.37 -15.20 -11.41 -27.38 -15.42 -10.67 0.77
2.46 8.08 67.51 2.69 8.06 69.29 1.79
2.43 -16.71 -17.70 2.47 -16.78 -17.71 0.08
-31.87 -27.76 -42.22 -31.45 -27.15 -41.72 0.90
-40.78 -17.12 -20.40 -40.54 -17.04 -20.52 0.29
30.86 7.92 -18.59 31.12 8.03 -18.64 0.29
-2.35 18.93 37.50 -2.91 19.50 38.13 1.02
7.65 18.75 63.05 7.64 18.77 63.06 0.02
-8.44 -25.72 -40.25 -8.36 -25.82 -40.32 0.15
-4.95 1.53 44.92 -4.31 1.76 44.91 0.67
-10.09 4.95 5.06 -9.84 4.73 5.09 0.33
-39.86 -23.60 -38.84 -39.21 -23.09 -38.24 1.02
-8.37 8.74 14.20 -8.10 8.74 14.22 0.27
17.95 21.43 -14.60 17.80 22.26 -14.66 0.85
6.39 -13.48 -20.10 6.28 -13.37 -19.97 0.19
3.89 -4.46 60.38 4.06 -3.90 60.44 0.60
35.63 1.02 4.40 35.11 1.27 4.45 0.58
-12.18 -19.10 -49.06 -12.27 -19.08 -48.92 0.16
24.58 -11.89 -20.74 24.45 -11.01 -20.92 0.91
28.06 0.75 -30.09 27.84 1.49 -29.25 1.14
16.89 21.81 20.57 17.03 22.45 20.63 0.66
-4.85 4.84 52.93 -4.33 4.82 52.97 0.52
-30.48 -17.53 -50.78 -30.01 -17.61 -49.76 1.13
13.76 9.18 -22.49 14.24 9.76 -22.32 0.77
-33.17 -16.89 -13.04 -33.44 -17.05 -12.56 0.57
-0.98 17.87 41.20 -1.26 18.28 41.39 0.53
29.65 -1.29 16.83 29.77 -1.44 16.88 0.19
15.11 21.34 44.81 15.42 21.84 45.02 0.63
-7.10 2.66 18.77 -6.73 2.72 18.62 0.40
-46.34 -15.13 -34.62 -45.77 -14.98 -34.73 0.60
13.06 -11.01 0.55 13.34 -11.27 0.69 0.41
33.72 5.91 -12.74 33.79 5.94 -12.80 0.09
23.46 10.62 -27.09 23.36 10.17 -26.69 0.61
-11.61 -13.82 -50.03 -11.78 -13.72 -49.71 0.37
-13.16 -26.38 -44.04 -13.17 -26.36 -44.02 0.03
11.21 21.91 31.33 11.16 22.35 31.36 0.44
23.55 5.15 52.58 23.92 5.12 52.63 0.37
-3.66 8.32 65.32 -3.42 8.16 65.31 0.29
