150, ../OUTPUT/pa5-C-Output.txt
75.6623 -5.0274 -42.5107 -39.2975 -13.8245 -28.2320
23.00 11.78 30.62 22.99 11.78 30.62 0.01
-23.78 -24.53 -7.26 -23.78 -24.54 -7.25 0.01
-37.97 4.71 -26.22 -37.95 4.69 -26.22 0.03
13.23 21.41 31.64 13.22 21.45 31.65 0.03
-11.91 4.77 -4.95 -11.91 4.77 -4.95 0.00
7.20 19.59 44.33 7.20 19.60 44.33 0.01
-9.57 -5.61 7.83 -9.57 -5.61 7.83 0.00
3.14 -13.96 -25.76 3.14 -13.95 -25.75 0.02
-4.26 -0.61 -34.44 -4.25 -0.61 -34.44 0.01
8.78 24.04 13.52 8.77 24.07 13.53 0.03
-8.67 9.07 38.22 -8.69 9.06 38.23 0.03
-14.70 -32.75 -23.11 -14.70 -32.75 -23.11 0.00
26.44 1.42 17.46 26.43 1.43 17.46 0.01
-16.13 20.35 26.46 -16.14 20.36 26.46 0.01
15.03 -2.30 57.76 15.01 -2.29 57.76 0.02
-35.55 -18.81 -40.57 -35.53 -18.80 -40.56 0.02
13.18 -9.34 -24.87 13.19 -9.30 -24.84 0.05
-36.94 -14.27 -8.83 -36.94 -14.27 -8.84 0.00
9.88 9.73 -15.15 9.88 9.74 -15.15 0.00
24.29 7.92 -32.02 24.30 7.92 -32.00 0.03
-5.39 12.93 53.49 -5.40 12.94 53.49 0.01
1.11 -6.94 63.98 1.11 -6.93 63.98 0.00
-41.27 0.72 -27.68 -41.25 0.70 -27.68 0.02
-32.88 -15.58 -44.56 -32.87 -15.57 -44.54 0.02
1.47 18.20 5.05 1.47 18.20 5.05 0.01
18.55 7.27 -27.42 18.57 7.28 -27.41 0.03
-22.24 6.76 -40.49 -22.24 6.74 -40.47 0.02
-5.94 -13.96 -1.98 -5.94 -13.96 -1.98 0.00
1.54 19.57 7.40 1.53 19.57 7.39 0.01
-27.42 -14.11 -3.76 -27.42 -14.12 -3.74 0.02
-10.98 -27.50 -38.81 -10.98 -27.50 -38.80 0.01
33.13 11.02 9.40 33.14 11.02 9.41 0.01
-32.27 5.41 -37.46 -32.26 5.39 -37.45 0.03
32.40 19.42 -13.59 32.41 19.43 -13.59 0.02
25.78 7.75 -32.36 25.78 7.75 -32.33 0.03
13.16 18.01 -16.81 13.16 18.01 -16.81 0.00
-13.13 11.04 33.00 -13.15 11.02 33.01 0.03
9.67 25.20 3.75 9.66 25.23 3.75 0.03
36.80 -2.54 -8.00 36.77 -2.51 -8.01 0.04
-2.08 14.84 6.57 -2.08 14.84 6.57 0.00
11.45 18.99 -26.29 11.46 18.99 -26.28 0.01
