150, ../OUTPUT/pa5-D-Output.txt
9.6818 -67.8781 36.2361 -166.0213 -48.3251 -78.1144
7.65 -7.08 26.31 7.95 -7.99 26.40 0.96
5.46 21.83 29.23 5.46 21.98 29.30 0.16
-23.92 0.85 -9.81 -24.07 1.39 -9.31 0.75
-3.94 -17.97 -36.66 -4.31 -17.82 -36.47 0.44
-7.20 14.19 28.42 -7.27 14.16 28.44 0.08
-7.28 2.78 -32.94 -8.13 2.87 -33.00 0.86
36.69 16.12 -10.60 36.70 16.13 -10.60 0.01
16.64 5.52 -25.27 16.57 5.53 -25.38 0.12
-44.36 -17.72 -34.19 -43.44 -17.84 -34.09 0.93
-6.76 8.67 59.01 -5.24 7.16 58.83 2.15
-19.32 -18.39 -49.37 -19.67 -18.05 -48.44 1.05
-6.05 -30.58 -17.63 -6.04 -30.62 -17.62 0.05
16.76 -5.54 17.62 16.69 -5.42 17.58 0.15
6.72 -16.27 -19.47 6.82 -16.35 -19.60 0.18
31.95 -2.40 6.22 31.78 -2.04 6.11 0.41
2.11 25.01 24.92 2.37 25.46 25.08 0.54
-11.82 -0.84 6.65 -10.94 -1.07 6.15 1.04
-7.75 -22.68 -40.77 -8.32 -22.43 -40.47 0.69
-20.80 -16.76 -3.72 -20.95 -17.15 -2.50 1.29
-1.09 30.32 16.59 -1.87 29.21 16.63 1.36
-15.00 9.74 -19.44 -15.10 10.36 -19.19 0.67
3.38 -20.35 -13.25 3.90 -20.41 -13.09 0.54
39.95 3.26 -11.20 39.69 3.40 -11.16 0.29
-21.86 -8.73 -49.92 -21.74 -8.75 -49.03 0.89
-25.49 14.35 -32.47 -25.29 13.77 -32.18 0.68
-18.76 0.93 -4.27 -18.67 0.74 -4.36 0.23
-8.78 -32.05 -18.77 -8.83 -31.94 -18.79 0.13
13.49 28.80 12.26 13.65 28.56 12.25 0.29
21.51 -14.98 -4.76 21.46 -15.62 -4.12 0.90
-2.51 16.66 37.44 -2.16 16.42 37.13 0.53
-10.72 0.18 25.97 -7.04 0.26 26.22 3.69
17.11 24.82 26.26 17.08 24.42 26.05 0.45
-5.17 8.48 -7.96 -5.08 8.25 -8.10 0.29
33.53 6.54 -31.70 32.82 6.76 -31.24 0.87
-40.56 -27.94 -22.67 -40.52 -27.92 -22.67 0.04
-15.18 26.69 9.18 -11.98 24.92 12.58 5.00
-16.97 -22.45 -4.22 -16.97 -22.52 -3.89 0.33
-9.61 3.80 14.81 -7.38 3.63 14.59 2.24
22.70 25.50 15.19 23.08 25.85 15.30 0.54
3.96 15.55 51.00 4.58 14.32 50.72 1.41
12.90 -19.24 -3.97 12.96 -18.89 -3.92 0.35
5.46 25.86 20.87 5.18 25.09 20.68 0.83
-5.22 9.54 -10.67 -5.22 9.53 -10.67 0.00
15.85 21.63 36.80 15.85 21.63 36.80 0.01
-14.81 6.52 -10.73 -14.85 6.84 -10.48 0.42
12.29 8.33 55.28 14.73 10.06 56.20 3.13
38.08 13.51 -25.70 37.21 13.35 -25.47 0.91
17.82 -11.43 -17.72 17.80 -11.61 -18.14 0.46
18.38 4.58 35.81 19.83 4.29 35.99 1.49
16.03 12.50 40.40 18.23 12.87 40.98 2.31
-45.74 -14.56 -16.37 -45.72 -14.55 -16.37 0.03
6.96 -17.51 -6.34 6.96 -17.53 -6.34 0.02
22.72 27.18 12.87 22.89 27.35 12.98 0.26
-8.15 28.57 4.17 -6.11 24.51 8.11 6.01
-11.27 -20.49 -3.72 -11.32 -20.44 -4.00 0.29
-28.57 -23.20 -3.51 -28.60 -22.79 -2.54 1.05
-0.34 -25.86 -23.47 -0.33 -25.87 -23.47 0.01
-34.69 8.62 -18.50 -34.62 8.53 -18.51 0.11
19.32 -16.68 -12.44 19.33 -16.73 -12.48 0.06
-23.65 -22.93 -4.39 -23.34 -23.17 -3.12 1.33
-27.31 -20.76 -48.90 -27.09 -20.43 -48.23 0.77
18.49 3.84 35.12 19.77 3.58 35.27 1.32
22.65 29.62 -24.74 22.58 29.52 -24.59 0.19
-5.08 -10.25 11.92 -4.57 -9.28 11.34 1.24
15.34 -5.26 21.04 15.34 -5.25 21.04 0.01
-40.75 -22.05 -12.53 -41.01 -22.21 -12.32 0.37
-4.53 -8.58 64.34 -4.12 -8.03 63.88 0.82
-23.85 -36.72 -29.66 -23.88 -36.50 -29.63 0.22
31.26 19.41 5.17 31.71 19.77 5.39 0.62
18.41 19.56 -19.85 18.57 19.63 -19.86 0.18
-37.13 6.35 -34.20 -36.88 6.03 -34.07 0.43
20.83 -6.20 -22.04 20.75 -6.43 -22.16 0.27
11.26 -2.99 62.50 11.63 -3.36 63.27 0.94
17.78 23.40 -31.87 17.31 23.21 -31.99 0.52
-14.53 -2.95 -48.16 -14.84 -3.43 -47.71 0.73
-6.30 -30.13 -15.46 -6.27 -30.21 -15.44 0.09
-37.12 2.71 -41.56 -36.86 1.78 -40.57 1.37
30.63 10.78 -31.47 30.72 10.54 -31.92 0.52
12.32 17.23 45.19 13.95 19.42 45.82 2.80
10.96 -7.53 17.23 11.52 -8.25 17.59 0.98
-30.80 -34.57 -17.89 -30.78 -34.50 -17.90 0.07
-38.16 0.81 -42.40 -37.94 0.14 -41.35 1.27
8.86 18.55 48.27 8.98 18.44 48.27 0.17
-10.20 -29.50 -10.15 -10.07 -29.82 -9.84 0.47
-5.89 10.82 36.85 -4.80 10.36 36.45 1.24
-9.57 -3.90 13.72 -8.24 -3.43 13.20 1.51
35.34 -2.72 -9.83 34.36 -1.97 -9.88 1.23
16.66 19.72 36.67 15.87 21.36 37.34 1.94
-39.95 -26.64 -33.19 -39.65 -26.48 -33.13 0.35
4.21 -11.10 15.89 4.03 -11.77 16.01 0.70
2.39 -7.38 65.01 2.40 -7.32 64.43 0.58
38.82 14.10 -17.28 38.31 14.07 -17.14 0.53
37.69 6.11 -29.38 37.00 6.51 -28.57 1.14
-1.53 -8.89 26.42 -0.54 -7.62 26.27 1.62
5.76 -8.06 48.51 5.78 -8.35 48.48 0.29
24.70 3.64 17.78 24.65 3.66 17.76 0.05
-8.95 -4.88 42.98 -6.57 -3.48 43.27 2.78
