400, ../OUTPUT/pa5-E-Output.txt
0.3802 -6.3217 -101.0212 179.8693 111.1809 -41.2065
2.89 6.10 -13.60 2.89 6.13 -13.62 0.03
31.16 -11.31 -21.37 31.16 -11.08 -21.29 0.24
-14.59 -25.69 -15.27 -14.58 -25.71 -15.25 0.03
-1.01 -4.25 -36.45 -1.01 -4.25 -36.46 0.01
-1.07 -3.58 42.28 -1.06 -3.64 42.32 0.07
-35.67 -19.19 -34.93 -35.60 -19.13 -34.93 0.09
30.51 1.51 26.06 30.50 1.52 26.06 0.02
-8.95 -25.00 -36.36 -8.97 -24.97 -36.34 0.04
34.96 1.07 -16.08 34.98 1.07 -16.08 0.00
40.06 12.04 -0.67 40.09 12.06 -0.67 0.03
22.26 -8.47 19.48 22.19 -8.16 19.40 0.33
20.67 -15.90 -20.50 20.65 -15.91 -20.54 0.06
-0.13 -1.94 46.86 -0.14 -1.95 46.86 0.00
3.11 -20.81 -25.87 3.09 -20.79 -25.86 0.02
-31.51 -5.03 -46.47 -31.48 -5.03 -46.44 0.04
14.40 -17.99 -12.89 14.52 -17.86 -12.88 0.17
9.62 -6.90 -23.11 9.59 -6.92 -23.02 0.10
43.62 2.08 -8.15 43.58 2.07 -8.16 0.06
-2.62 14.84 1.68 -2.69 14.89 1.68 0.08
-31.81 10.56 -29.64 -31.90 10.71 -29.65 0.18
-14.73 -1.36 -47.81 -14.73 -1.37 -47.72 0.07
-1.47 21.42 38.69 -1.47 21.28 38.69 0.13
-6.18 -6.04 18.54 -6.17 -6.03 18.53 0.02
-3.36 -17.65 -40.44 -3.38 -17.65 -40.42 0.03
15.95 26.97 46.18 15.94 26.96 46.18 0.01
13.37 -15.39 -8.78 13.47 -15.33 -8.81 0.12
-28.45 -26.36 -23.37 -28.43 -26.33 -23.38 0.03
42.01 8.74 -2.27 41.94 8.71 -2.27 0.08
0.41 0.26 -25.20 0.47 0.29 -25.21 0.07
41.40 0.84 -10.73 41.40 0.92 -10.76 0.08
-15.54 1.76 -47.07 -15.54 1.75 -47.05 0.01
-6.02 -23.44 -21.42 -6.02 -23.46 -21.41 0.02
2.70 -4.59 38.52 2.70 -4.62 38.52 0.03
9.44 -10.04 17.70 9.40 -9.81 17.61 0.26
29.88 -10.60 -2.65 29.74 -10.49 -2.67 0.19
38.97 3.25 -14.99 38.84 3.32 -15.00 0.16
-22.31 11.37 -12.13 -22.24 11.41 -12.04 0.12
-1.22 -22.93 -30.60 -1.23 -22.90 -30.60 0.02
-31.28 -24.86 -26.92 -31.25 -24.82 -26.92 0.04
-11.15 16.38 42.41 -11.33 16.47 42.35 0.20
