400, ../OUTPUT/pa5-F-Output.txt
67.4965 49.0844 54.5098 -125.9780 23.7131 -77.5150
21.36 15.70 -29.62 21.38 15.72 -29.59 0.05
11.43 -16.67 -0.50 11.16 -15.95 -0.90 0.87
-7.30 1.57 38.64 -5.93 1.80 38.62 1.39
-45.77 -17.87 -28.82 -45.52 -17.79 -28.66 0.30
-11.91 -0.15 -1.36 -12.19 0.17 -1.10 0.50
12.74 -3.54 -23.09 12.66 -3.62 -23.73 0.65
-5.49 4.76 6.49 -5.62 4.84 6.46 0.15
-32.87 -12.01 -6.12 -33.78 -12.19 -5.41 1.17
21.74 7.88 -23.34 20.88 8.98 -24.39 1.75
34.32 5.21 -30.14 34.11 5.15 -29.74 0.46
-26.59 -25.51 -48.23 -26.60 -24.65 -47.17 1.36
-7.08 -16.19 -42.78 -7.57 -16.27 -42.27 0.71
36.76 13.72 -14.32 36.73 13.71 -14.32 0.03
-15.38 -3.75 -3.10 -15.82 -3.56 -2.90 0.53
-11.10 -22.55 -6.52 -11.09 -22.24 -6.78 0.40
22.35 -0.38 20.47 22.28 -0.30 20.44 0.11
-24.06 5.26 -17.49 -23.79 6.36 -16.79 1.33
-7.13 5.78 24.30 -6.68 5.89 24.24 0.47
0.43 6.77 -9.96 0.21 7.65 -9.86 0.92
32.48 0.16 7.82 32.21 0.29 7.68 0.33
10.67 -17.31 -2.67 10.86 -16.71 -2.59 0.63
-6.25 -26.99 -34.70 -7.05 -25.95 -34.22 1.40
-19.89 -34.80 -23.89 -20.11 -33.80 -23.99 1.03
8.68 -3.06 66.66 9.51 -4.66 66.54 1.81
-40.43 1.96 -34.59 -41.03 2.87 -34.97 1.15
35.29 13.15 -21.43 35.03 13.09 -21.38 0.27
-11.22 -20.21 -46.80 -11.47 -19.89 -46.53 0.48
21.24 5.36 29.13 21.86 5.33 29.23 0.63
-43.61 -1.87 -36.50 -44.23 -1.28 -36.78 0.90
-30.44 -33.86 -22.19 -30.37 -33.73 -22.24 0.15
4.87 16.28 4.94 4.69 16.38 4.79 0.25
27.52 22.66 -19.82 27.88 23.08 -19.90 0.56
8.48 -0.25 -21.95 8.64 -0.19 -22.67 0.74
2.86 16.19 6.79 2.86 16.19 6.79 0.00
0.42 22.78 17.89 0.24 22.39 17.95 0.43
-40.93 -11.28 -11.26 -41.57 -11.42 -10.90 0.75
-12.25 -32.83 -26.59 -12.75 -31.83 -26.46 1.13
-20.96 -21.88 -7.29 -20.94 -21.91 -6.73 0.57
19.38 20.66 -19.58 17.94 21.21 -19.37 1.55
-2.06 23.20 26.91 -2.04 23.23 26.92 0.03
6.17 -17.69 -19.93 5.59 -16.93 -19.81 0.96
7.07 20.78 25.12 7.07 20.64 25.09 0.14
13.99 12.53 57.62 15.10 13.16 57.81 1.29
-30.90 -10.78 -51.39 -30.86 -10.78 -51.29 0.10
23.01 -13.84 -11.81 22.63 -13.06 -11.81 0.87
0.63 -5.81 28.99 0.90 -5.17 28.87 0.71
-2.11 -3.26 58.13 -1.77 -2.87 58.20 0.53
-18.78 -6.81 -50.50 -18.93 -6.81 -50.09 0.44
18.87 18.16 -21.73 18.07 17.82 -21.73 0.88
13.35 18.70 -4.54 12.63 18.93 -4.75 0.78
-25.18 7.25 -39.67 -25.20 7.44 -39.78 0.21
16.76 20.00 -9.67 16.70 19.96 -9.71 0.08
-14.34 -31.19 -16.23 -14.66 -30.51 -16.44 0.78
5.84 20.34 9.56 5.84 20.40 9.55 0.06
-9.58 22.22 20.27 -9.24 21.72 20.34 0.61
20.34 2.11 29.86 20.89 1.89 29.93 0.60
-0.87 22.43 27.85 -0.87 22.43 27.85 0.00
18.96 21.11 -14.37 18.17 20.93 -14.54 0.84
1.14 -3.34 69.99 1.13 -3.34 70.11 0.12
